artifact_file,source_path,sha256,release_access,notes
data/en_v2_results_7010.csv,paper/data/gpu_results_20260505/raw/results/c3a/paper_ready/verified/part1/raw/en_v2_results_7010.csv,1d5c4e06ec14ce57bf7f0be87873836989ed8a593b75578b4f650e5731263839,gated,raw jailbreak prompt and stage-level evaluation table
data/knowledge_base.json,paper/data/gpu_results_20260505/raw/results/c3a/paper_ready/verified/part1/raw/knowledge_base.json,55abda8b3cc1a4915d7d53230b91463d2a97c2ddbeba50aa71a81c81c7ee4606,gated,stage-level KB with prompt profiles
data/c3a_jbb_goals.json,data/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,ec56b9e38b0343b75ea603ff1d66af26b8a023dd306f2ce0d55cfcfa512a1a54,gated,JailbreakBench JBB-Behaviors goals used for C3A online evaluation
data/c3a_stage_distribution.csv,paper/data/gpu_results_20260505/c3a_stage_distribution.csv,2c0bb657c651ffadf19461cbbb6f5a846a63fb695d1a2fe57cab1db38ed1f219,public_or_reviewer,stage distribution for Config A/B/C C3A diagnostics
data/audit_configuration_asr.csv,paper/analysis/c3a_ci_cost_20260506/audit_configuration_asr.csv,3a6775012528c6fb0018c6d55260baf0586c9a34da957e5e94156b50acf2ec86,public_or_reviewer,per-configuration ASR and cascade-survival table for figure generation
data/audit_summary_ci.csv,paper/analysis/c3a_ci_cost_20260506/audit_summary_ci.csv,ddf60b174a1628973545edc9d5737f1324f45a140d3b634d495580323eab48b9,public_or_reviewer,derived audit CI with marginal and cascade-survival rates
data/c3a_asr_ci.csv,paper/analysis/c3a_ci_cost_20260506/c3a_asr_ci.csv,9c5db8024e524476595c28baba803ad04db3441f2487b838b2ed1e15611d3352,public_or_reviewer,derived C3A ASR CI
data/c3a_delta_ci.csv,paper/analysis/c3a_ci_cost_20260506/c3a_delta_ci.csv,08988a4f454ca8de890226359523c5f3a56964ad0f0dbdac3cf49d78612f3d6a,public_or_reviewer,derived paired bootstrap deltas
data/c3a_cost_table.csv,paper/analysis/c3a_ci_cost_20260506/c3a_cost_table.csv,bb13ad2faef683501e88b6a35ca9d6f38cd963fdfd24ecf9696cd6f979e60953,public_or_reviewer,derived cost proxy table
data/c3a_guidance_distribution.csv,paper/analysis/c3a_ci_cost_20260506/c3a_guidance_distribution.csv,2b885899fdc7ca0d7abfb9c692f22361e5fe1e53b2542182206fd5a4e1dfafc3,public_or_reviewer,derived C3A guidance distribution for appendix figure
data/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9,gated,raw C3A online-run traces for Config B/C and baseline methods
data/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463,gated,raw C3A online-run traces for Config A full-KB and no-KB methods
data/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,8bbda8d7bb3f82bfc0023fd0e76840fb795c17aafdc3a301a7afc7e98411c8ef,gated,raw C3A online-run traces for Config A config-holdout KB method
human_eval/HUMAN_EVAL_SUMMARY.md,artifacts/cascadeeval_hf_dataset_20260506/human_eval/HUMAN_EVAL_SUMMARY.md,dea4970adf052dd8948939fe48ea7ec883e04ea790e3042ddd69b1e2f42bb283,public_or_reviewer,anonymized aggregate human-evaluation calibration summary
