config_label,bottleneck,input_guard,target_llm,output_guard,config_key,method,stage,count,share,total_iterations_with_stage,local_source,sha256
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,direct,IG,96,0.9600,100,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,direct,LLM,0,0.0000,100,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,direct,OG,4,0.0400,100,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,direct,PASSED_GUARDS,0,0.0000,100,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-nokb,IG,127,0.0775,1638,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-nokb,LLM,165,0.1007,1638,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-nokb,OG,143,0.0873,1638,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-nokb,PASSED_GUARDS,1203,0.7344,1638,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-full-kb,IG,1156,0.7198,1606,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-full-kb,LLM,66,0.0411,1606,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
